"Gene_ID","GO_Term"
"ATF2","GO:0007254"
"ATF2","GO:0038066"
"QARS1","GO:0032873"
"RELL1","GO:1900745"
"HACD3","GO:0007254"
"TAOK3","GO:0032874"
"TAOK3","GO:0043507"
"TAOK3","GO:0046329"
"TAOK3","GO:0046330"
"CD81","GO:0043410"
"IGF2","GO:0043410"
"MAP3K4","GO:0043507"
"MAP3K4","GO:0043507"
"MAP3K4","GO:1900745"
"SPAG9","GO:0043410"
"MAP2K1","GO:0043410"
"MAP2K1","GO:0070371"
"MAP2K1","GO:0070374"
"SH3RF3","GO:0046328"
"SH3RF3","GO:0046330"
"JUN","GO:0070374"
"HTR2B","GO:0043406"
"HTR2B","GO:0070371"
"HTR2B","GO:0070371"
"HTR2B","GO:0070374"
"ARL6IP5","GO:0032874"
"AGT","GO:0043407"
"FGF8","GO:0070374"
"CTSH","GO:0070371"
"DVL3","GO:0043507"
"TAB1","GO:0043410"
"STRADB","GO:0007254"
"ROCK1","GO:0043410"
"ADRA2C","GO:0043410"
"CAV3","GO:0043407"
"CAV3","GO:0043409"
"CAV3","GO:1900744"
"IQGAP1","GO:0043410"
"MADD","GO:0043410"
"NF2","GO:0043409"
"LIF","GO:0043410"
"LIF","GO:0070373"
"FGFR3","GO:0043410"
"FGFR3","GO:0070374"
"MAPK8IP1","GO:0007258"
"MAPK8IP1","GO:0046328"
"MAPK8IP1","GO:0046330"
"GRM1","GO:0043410"
"MAP3K5","GO:0007254"
"MAP3K5","GO:0038066"
"MAP3K5","GO:0043410"
"MAP3K5","GO:0043507"
"MAP3K5","GO:0046330"
"MAP3K5","GO:0051403"
"GPR183","GO:0070374"
"EZR","GO:0070373"
"EZR","GO:1903753"
"PDCD10","GO:0032874"
"PDCD10","GO:0043406"
"ITGAV","GO:0070371"
"ERBB4","GO:0070374"
"CCN2","GO:0046330"
"CCN2","GO:0070374"
"THBS1","GO:0043406"
"BRAF","GO:0070371"
"BRAF","GO:0070374"
"BRAF","GO:0070374"
"FLT1","GO:0043406"
"FLT1","GO:0043410"
"SPRED1","GO:0043409"
"SPRED1","GO:0043409"
"SPRED1","GO:0070373"
"RIPK2","GO:0007254"
"RIPK2","GO:0032874"
"RIPK2","GO:0046330"
"RIPK2","GO:0051403"
"RIPK2","GO:0070371"
"RIPK2","GO:0070374"
"TPD52L1","GO:0043406"
"TPD52L1","GO:0046330"
"FOXO1","GO:0032873"
"MBIP","GO:0046330"
"YWHAZ","GO:0070371"
"YWHAZ","GO:0070372"
"FGF23","GO:0070371"
"FGF23","GO:0070374"
"FGF23","GO:0090080"
"EPHA7","GO:0070372"
"MYC","GO:0070371"
"SPRY2","GO:0070373"
"DUSP16","GO:0043409"
"DUSP16","GO:0043508"
"PSCA","GO:0070373"
"KLHL31","GO:0046329"
"NOX4","GO:0043406"
"NOX4","GO:0070374"
"ALKAL2","GO:0070374"
"ALKAL2","GO:0070378"
"ITGB1BP1","GO:0070373"
"DACT1","GO:0046329"
"PAK1","GO:0043507"
"PELI2","GO:0043410"
"FOXM1","GO:0032873"
"ROBO1","GO:0043406"
"ARRB1","GO:0070374"
"LAMTOR1","GO:0043410"
"FGF18","GO:0043406"
"FGF18","GO:0070371"
"FGF18","GO:0070374"
"HDAC3","GO:0046329"
"CDK5RAP3","GO:0043407"
"RGS2","GO:0043407"
"EPHA8","GO:0043410"
"ASH1L","GO:0043409"
"MAGI3","GO:0046328"
"SEMA6A","GO:0070373"
